source_id,title_ja,sol_S,luna_latest_S,sol_E,luna_latest_E,sol_U,luna_latest_U,sol_P_final,luna_latest_P_final,S_same,E_same,U_same,P_same,luna83,luna_recal,luna_latest
O-8,相対性理論（相対的時空連続体）,S5,S4,E3,E3,U1,U1,P2,P1,False,True,True,False,S3/E2/U2/P1-P2,S3/E2/U1/P2,S4/E3/U1/P1
E-7,否定神学的アプローチ,S2,S3,E2,E1,U1,U1,P1,P1,False,False,True,True,S2/E1/U1/P1,S2/E2/U1/P2,S3/E1/U1/P1
G-3,空の思想（ナーガールジュナ）,S2,S3,E2,E2,U1,U2,P1,P1,False,True,False,True,S3/E2/U2/P2,S3/E2/U1/P2,S3/E2/U2/P1
S-8,法家思想（韓非子）,S4,S3,E2,E2,U2,U3,P2.5,P0,False,True,False,False,S3/E2/U3/P2.5,S3/E2/U3/P2.5,S3/E2/U3/P0
O-1.2,物理主義的同一説（脳科学的還元論）,S3,S5,E3,E3,U1,U2,P2,P0,False,True,False,False,S4/E2/U2/P2.5,S3/E2/U2/P2,S5/E3/U2/P0
O-6,カント的二世界論（現象と物自体）,S2,S3,E2,E2,U1,U1,P1,P1,False,True,True,True,S3/E1/U1/P1,S3/E2/U1/P2,S3/E2/U1/P1
E-3,現象学,S2,S3,E2,E2,U1,U1,P1,P1,False,True,True,True,S3/E2/U1/P1-P2,S2/E2/U1/P2,S3/E2/U1/P1
E-9,量子力学（観測理論として）,S5,S4,E3,E3,U1,U2,P2,P0,False,True,False,False,S4/E3/U3/P2.5,S4/E3/U1/P2,S4/E3/U2/P0
ET-3,功利主義,S3,S3,E2,E2,U2,U3,P2,P0,True,True,False,False,S3/E2/U3/P2.5,S3/E2/U2/P2,S3/E2/U3/P0
A-1,美的超越論,S2,S4,E2,E2,U1,U2,P1,P1,False,True,False,True,S4/E3/U2/P2.5,S3/E2/U1/P2,S4/E2/U2/P1
S-11,民主主義（人民主権）,S4,S3,E2,E2,U2,U3,P2,P0,False,True,False,False,S3/E2/U2/P2,S3/E2/U2/P2,S3/E2/U3/P0
TR-1,転生（完全な位相シフト）,S5,S5,E3,E3,U3,U3,P3,P0,True,True,True,False,S4/E3/U3/P2.5,S4/E3/U3/P2.5,S5/E3/U3/P0
O-3.2,物語的多元論（神話・アニミズム）,S2,S5,E3,E2,U1,U3,P2,P0,False,False,False,False,S4/E3/U3/P2.5,S2/E2/U1/P2,S5/E2/U3/P0
E-11,反証主義,S2,S3,E2,E2,U1,U1,P1,P1,False,True,True,True,S2/E1/U1/P1,S2/E2/U1/P2,S3/E2/U1/P1
H-4,高次の認識主体としての「神AI」,S5,S5,E3,E3,U3,U4,P3,P0,True,True,False,False,S5/E3/U3/P3,S4/E3/U3/P2.5,S5/E3/U4/P0
ST-2,クラウゼヴィッツの戦争論,S3,S3,E2,E2,U3,U4,P2.5,P0,True,True,False,False,S4/E2/U3/P2.5,S3/E2/U3/P2.5,S3/E2/U4/P0
SYN-1.1,応用形而上学,S5,S5,E3,E3,U1,U4,P2,P0,True,True,False,False,S5/E3/U3/P3,S4/E3/U1/P2,S5/E3/U4/P0
